,Name,Team,Sample 0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Mean,Std,Median,5th,16th,84th,95th
323,Jordan Dawson,Adelaide,18.178184285759926,18.126722436398268,18.272359985858202,18.00586226209998,18.145196110010147,18.119892224669456,18.09226331114769,18.001718118786812,18.381277911365032,18.11374467983842,18.202477674931288,18.157080065459013,18.033800069242716,18.247066620737314,18.208823278546333,18.20684042572975,18.0494136326015,18.2121093980968,18.029906421899796,18.139086663722992,18.054898142814636,18.137748524546623,18.376926630735397,18.19324381649494,18.216933481395245,18.13138025254011,18.21717517822981,17.928169310092926,18.077990394085646,18.143831722438335,17.89461349695921,18.01339191570878,18.257362637668848,18.13449414819479,18.010736752301455,17.973907604813576,18.134714744985104,18.202076707035303,18.387774664908648,18.460784077644348,18.133600294589996,18.02924321219325,18.16821851953864,18.245939653366804,18.200927734375,18.0001239515841,18.133604660630226,18.1366158798337,18.096614446491003,18.27524496242404,18.14584226191044,0.11737723105268168,18.13718220219016,17.979281955901534,18.025930291227997,18.24617518954724,18.380385898835957
434,Izak Rankine,Adelaide,17.848516693338752,17.79299335181713,17.844260862097144,17.810493256896734,17.609500912949443,17.99770638719201,17.921895312145352,18.02427981235087,17.653306188061833,17.695111835375428,17.594736812636256,17.841747460886836,17.839650304988027,17.66757028363645,17.744441563263535,17.932652050629258,17.879041485488415,17.639771258458495,18.087958358228207,17.768719485029578,17.793061746284366,17.983456077054143,17.793013097718358,17.90507752634585,17.80621218122542,17.66094701178372,17.721540654078126,18.017680810764432,17.921155724674463,17.93450716510415,17.999034957960248,17.798444477841258,17.77878901734948,17.847316164523363,17.8223548065871,17.800874484702945,17.82365675456822,17.818126682192087,17.582407077774405,17.757439887151122,17.650160809978843,17.91928922943771,17.789446271955967,17.74833203293383,17.660299606621265,17.91464008577168,17.856108160689473,17.899021059274673,17.844123266637325,17.87819185294211,17.81838124714792,0.11923168633928645,17.820240744389594,17.6157063337788,17.66618601981923,17.924143470488488,18.013858410939573
322,Sam Berry,Adelaide,7.01651650480926,6.9250576458871365,7.1368612293154,7.192098084837198,7.0364934876561165,7.130725227296352,6.928077626973391,7.136302389204502,7.01145388931036,7.007115200161934,7.235456887632608,7.143558917567134,7.101068381220102,6.964807081967592,6.984391761943698,7.021017424762249,6.965073987841606,7.088262664154172,7.016490396112204,7.168430887162685,7.135830622166395,7.139647651463747,7.106963161379099,6.980845745652914,7.104888707399368,7.201764214783907,7.134688138961792,7.113159723579884,6.893500719219446,7.1046550162136555,7.061550013720989,7.053910218179226,7.069701204076409,7.141275867819786,7.110251564532518,7.211683806031942,7.174343636259437,7.133933488279581,7.099881138652563,6.942824028432369,7.149407848715782,7.026488292962313,6.942300219088793,7.238515198230743,7.0747684594243765,7.01645715162158,7.03212958574295,7.0662818886339664,6.9806719571352005,7.0974558256566525,7.074980695396662,0.08544929257757226,7.092859244905412,6.930993258357048,6.980809423852712,7.1447813441772015,7.2096502898260955
314,Wayne Milera,Adelaide,6.339883787557483,6.069619700312614,6.061146205291152,6.2334890104830265,6.151404896751046,5.832542492076755,6.311378255486488,5.974416779354215,6.0141492411494255,5.986275242641568,6.003983581438661,6.07061979547143,5.970455918461084,6.127981189638376,6.040718587115407,5.772021424025297,6.126885389909148,6.1885450929403305,5.883631309494376,6.040716914460063,6.17374412715435,6.111593941226602,5.987532148137689,6.045013038441539,6.109369266778231,5.854746012017131,5.992992240935564,5.962946144863963,6.066071389243007,6.122532365843654,5.90317309089005,6.11454438790679,6.160102650523186,6.0960889626294374,6.097002534195781,6.045513462275267,6.0081181693822145,5.810693563893437,6.0656268410384655,6.108614578843117,6.1085665710270405,5.955925168469548,6.191798297688365,5.945005534216762,6.100321063771844,6.100812640041113,6.134708918631077,6.194772768765688,6.019616909325123,6.0689063016325235,6.05712635807693,0.11620450858080685,6.067488845437765,5.837094213664532,5.96147876079753,6.153222727289423,6.225552180930972
319,Josh Rachele,Adelaide,3.631726449355483,3.709218805655837,3.6824108213186264,3.68346862308681,3.67778199352324,3.6718240678310394,3.7487216014415026,3.771972032263875,3.6041002217680216,3.7526228707283735,3.669486876577139,3.7856574822217226,3.634141966700554,3.705711977556348,3.7157951928675175,3.6193798817694187,3.6077789328992367,3.6428275238722563,3.6706142518669367,3.705787628889084,3.6845131926238537,3.634552052244544,3.5721197351813316,3.710723353549838,3.6341106817126274,3.7223592661321163,3.6722597554326057,3.7239712737500668,3.6727123707532883,3.6790199540555477,3.707650475203991,3.666042696684599,3.7151887584477663,3.685527551919222,3.734629973769188,3.7121642902493477,3.6435052417218685,3.709953561425209,3.6688241828233004,3.631635282188654,3.67177377641201,3.7737258188426495,3.6729445848613977,3.721493002027273,3.718990383669734,3.637307172641158,3.647449593991041,3.6685859244316816,3.634872393682599,3.6312695052474737,3.68101810015738,0.04627040025930405,3.675363289192319,3.610157127417624,3.634135428138077,3.7216740512251856,3.768005454149097
315,Riley Thilthorpe,Adelaide,3.6268226765096188,3.688895396888256,3.585457544773817,3.6243264358490705,3.546614397317171,3.6335418932139874,3.6374071668833494,3.5762273650616407,3.6234967298805714,3.6050882134586573,3.666691305115819,3.6081577725708485,3.6046586520969868,3.650944145396352,3.647445607930422,3.6391173861920834,3.677283376455307,3.651262529194355,3.590452155098319,3.610560918226838,3.6321801990270615,3.580962536856532,3.6599363163113594,3.5767893362790346,3.6557583771646023,3.5862005185335875,3.668767374008894,3.5858110450208187,3.5866369362920523,3.6660875398665667,3.6401410810649395,3.5702250134199858,3.513609427958727,3.610604340210557,3.5608553551137447,3.6368625219911337,3.574222171679139,3.605350114405155,3.668827848508954,3.6125148870050907,3.5665254537016153,3.6220854464918375,3.6317868288606405,3.633979609236121,3.679778480902314,3.591857196763158,3.608904682099819,3.563558552414179,3.678684987127781,3.5497788712382317,3.616274694353342,0.04030416395062908,3.617300166748464,3.5520495504327116,3.575808279644698,3.6612219220343976,3.6783976569399237
324,Taylor Walker,Adelaide,3.385397519916296,3.44186126627028,3.406685598194599,3.3817226849496365,3.468612788245082,3.4561327379196882,3.440319698303938,3.3858732599765062,3.4675824232399464,3.436307506635785,3.537885317578912,3.461618959903717,3.4144694171845913,3.487994274124503,3.410252185538411,3.4374216850847006,3.386096453294158,3.472190499305725,3.281272927299142,3.513716684654355,3.3693657591938972,3.442992515861988,3.471143774688244,3.4954311177134514,3.298525767400861,3.443407403305173,3.5009105037897825,3.3890812639147043,3.418675696477294,3.3948375191539526,3.459843972697854,3.4516166672110558,3.446722200140357,3.430489208549261,3.4952465873211622,3.4788938891142607,3.4184813164174557,3.4538633190095425,3.390105467289686,3.3934208787977695,3.4207441452890635,3.325362114235759,3.488146238029003,3.4506431967020035,3.4593817982822657,3.482733240351081,3.4449619613587856,3.4154149144887924,3.507078105583787,3.406447583809495,3.434347640275955,0.051892910095351664,3.442426891066134,3.3343828614521773,3.3884574384950104,3.483832796409726,3.505813747216016
328,Darcy Fogarty,Adelaide,2.661821672692895,2.624553022906184,2.7393747996538877,2.563876746222377,2.5915988627821207,2.6707594767212868,2.672606525942683,2.7663130294531584,2.6774668972939253,2.7313846480101347,2.723013451322913,2.6982187274843454,2.678043330088258,2.603752199560404,2.6664013620465994,2.600591951981187,2.6666127555072308,2.619171902537346,2.73568432405591,2.668232837691903,2.65481817163527,2.6067395247519016,2.62897158972919,2.715359950438142,2.6719568222761154,2.7194940391927958,2.7115596644580364,2.644088540226221,2.6635695341974497,2.761533649638295,2.6793740019202232,2.573029600083828,2.5836564898490906,2.621451288461685,2.5609410908073187,2.6139369308948517,2.6406257674098015,2.5877639651298523,2.6407169066369534,2.6660509537905455,2.629457861185074,2.6085301861166954,2.708381589502096,2.6027490962296724,2.6782481223344803,2.778126334771514,2.5873165912926197,2.6193097978830338,2.688186353072524,2.708841385319829,2.658285286463797,0.05512688484967239,2.6648102439939976,2.575208112485707,2.602298253081739,2.7162239749878645,2.7569910853914914
321,James Peatling,Adelaide,2.634723147377372,2.6454377081245184,2.619059029966593,2.6359755881130695,2.7244621105492115,2.4901764690876007,2.601602617651224,2.6380468904972076,2.594226447865367,2.592431044206023,2.5536131374537945,2.539520276710391,2.6883704978972673,2.7636973802000284,2.5270511265844107,2.636802202090621,2.7139591202139854,2.6695338804274797,2.7334311679005623,2.706116745248437,2.651571622118354,2.6314471773803234,2.645985595881939,2.5573250744491816,2.7832353617995977,2.6672911290079355,2.649479830637574,2.644986607134342,2.6071202475577593,2.5426877569407225,2.7882469706237316,2.6492191944271326,2.6364537943154573,2.7663198802620173,2.5806525126099586,2.6949465107172728,2.6933527253568172,2.617914831265807,2.5675531905144453,2.5313433054834604,2.629183754324913,2.645585911348462,2.7360312938690186,2.563157821074128,2.7339617237448692,2.6776521895080805,2.67037689127028,2.643215710297227,2.6311656832695007,2.6480823177844286,2.643875664062798,0.06897986458249525,2.6441011587157845,2.533019584584981,2.566634558301419,2.7161542451940477,2.7657822677493096
326,Lachlan McAndrew,Adelaide,1.5270910020917654,1.4790354240685701,1.4592989310622215,1.5374219119548798,1.5285355430096388,1.4883893616497517,1.4653874579817057,1.4679816700518131,1.4806515406817198,1.4991603568196297,1.4722671024501324,1.4287115521728992,1.5200776848942041,1.503880923613906,1.5393994562327862,1.5841534230858088,1.508450536057353,1.4830375276505947,1.4543050769716501,1.483288235962391,1.5118971727788448,1.4869575686752796,1.4498651325702667,1.550583017989993,1.522025579586625,1.4949899576604366,1.5075404550880194,1.5082012172788382,1.4887579325586557,1.4083670265972614,1.5153355728834867,1.5526886954903603,1.4936817083507776,1.5007019843906164,1.5028570033609867,1.5139281991869211,1.4455806985497475,1.504900911822915,1.472824677824974,1.4770445507019758,1.5036083981394768,1.4689597059041262,1.5075186379253864,1.5048340279608965,1.5409344583749771,1.4875178132206202,1.5164796616882086,1.560456294566393,1.4539260640740395,1.4986555222421885,1.4972428873181343,0.033809940363176604,1.499931170605123,1.4464590075239538,1.4674394797291608,1.5273929111436009,1.552257031602785
