,Name,Team,Sample 0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Mean,Std,Median,5th,16th,84th,95th
434,Izak Rankine,Adelaide,17.48990573900032,17.255531172928585,17.43586787902432,17.520282769123288,17.501742026143003,17.32856267395218,17.60391609088213,17.689324228179586,17.83524760320264,17.390239226443736,17.446782021421296,17.02246773266605,17.35919179679417,17.69057741323227,17.744035271778102,17.44876128844368,17.474749009345132,17.49541993157464,17.181117850434443,17.52585487117628,17.231770414698858,17.534223907384106,17.607930907902443,17.513750378828675,17.80735088583243,17.555358573233164,17.29746156571393,17.21456265777764,17.368677149589363,17.282506664450615,17.607305412748037,17.167549991199714,17.271625154563523,17.84216681797067,17.802377107726727,17.239027745077895,17.787569657595405,17.26775654260174,17.510386814537775,17.422686833448058,17.41385221966334,17.2135410930263,17.302778771543903,17.782184243335216,17.31911423210576,17.427715602805286,17.326156953246848,17.58737400678086,17.617068682275868,17.16936605679419,17.458615472804084,0.2020974831669042,17.447771654932488,17.171775174490442,17.25208195650779,17.689586143855596,17.80633126132076
322,Jordan Dawson,Adelaide,16.358351442976975,16.51974877072685,16.126526234010875,16.112203856420976,16.409981171914822,16.179872070776383,16.622734973750955,16.439107141317802,16.292850866121217,16.504867494229195,16.04707321702047,16.71577262741458,16.341845207900576,16.641855289628406,16.24741526984059,16.146216582870355,16.497906186431752,16.605489549120644,16.466836468487276,16.599191967858264,16.112543453734077,16.25587778414365,16.112693721682167,15.99784918479355,16.385745434218393,16.288121178677766,16.004763968520173,16.279199487134857,16.00803838568644,16.56650571594342,16.52622284291577,16.644530974314392,17.168428620966797,16.251446629684573,16.743109221613423,16.349536120075477,16.771313094054076,16.124137082176908,16.77995486440183,16.076150477575837,15.856412260953405,16.20812795001591,16.67087150788893,16.708434361507766,16.490486325868613,16.324193985028224,16.708874643201625,16.149183993493512,16.117371123602698,16.634551022647784,16.38381043610682,0.2689668535488252,16.353943781526226,16.005435224039257,16.112662315681014,16.65003614583147,16.76553130020374
319,Sam Berry,Adelaide,7.4834908035048056,7.395248494265041,7.483589718406118,7.716640954477003,7.58714554060547,7.33993708087287,7.639305571406461,7.5194415308897105,7.09692411601805,7.270161222170974,7.534594377891113,7.427317483006701,7.2958724010878795,7.473234436963775,7.147012421283029,7.684374320371537,7.131221312908484,7.498889992313817,7.3882988069514335,7.416207477931705,7.647372472103307,7.21243651522399,7.456032603707391,7.5069130685610395,7.320446676325271,7.494853953048974,7.1644986594441535,7.2240903837885915,7.227776811506602,7.37995561602167,7.456411251885172,7.094471459371539,7.369750855186247,7.190758401975508,7.414540550511646,7.445716849150557,7.643766569438015,7.195090404294029,7.468382564082593,7.746293666837339,7.729321162276904,7.529944062464716,7.566171930690379,7.303009215152207,7.24568529431911,7.322963872078937,7.144976727084152,7.639299635077872,7.413450678552205,7.515282873009253,7.4119714569299076,0.17661573524850965,7.421762480469203,7.134041172814496,7.208811178039628,7.598045746350202,7.710026294485383
314,Wayne Milera,Adelaide,6.332217616466772,6.323654619525048,6.44290722629364,6.681210248184002,6.369268347002946,6.2746334831770225,6.497848740068178,6.1589707503829105,6.408576634320418,6.320623236004417,6.688234155542558,6.681164743480917,6.324904590946107,6.552414047150196,6.190645308600136,6.49587369574377,6.330679676778882,6.673779621999935,6.261517702632721,6.47243441381541,6.563440612129675,6.4535174901763845,6.170609913227861,6.58534033173603,6.6907754180602526,6.483676643728333,6.442163636812171,6.266309529878535,6.5474857269233695,6.301422166720114,6.339811727782916,6.580424963358181,6.580174053362517,6.55078887253157,6.2505498035644464,6.552866314119163,6.452092710440108,6.295629151437344,6.666817093536108,6.429549939804949,6.039811779093552,6.713021654642306,6.507639468146917,6.437785457564833,6.477683266220176,6.4911899275596046,6.520229619108278,6.59051355056154,6.485741023034289,6.363557452881975,6.44624356312519,0.15777899412207355,6.462975951995897,6.174717169279178,6.291241056770937,6.586421534470562,6.686794254534054
321,Josh Rachele,Adelaide,4.178823518157208,4.184920902313625,4.315747713321158,4.121023751239867,3.9916687503265837,4.019443009725424,4.358128350920922,4.054151689812508,4.132234472165735,4.36177571500048,4.128536201772371,4.156532147835566,4.056600422734293,3.9024146998375313,4.3548643409141645,4.101617339453165,4.197387100990449,3.991391693440536,4.019038857584522,4.123482208149464,4.23985002030067,4.25108369915479,4.065492123323859,4.049905756716308,3.97987804026114,4.30316718202281,4.00577460902103,4.351345823300101,3.8954751588273298,3.8841274701942017,4.251361612882684,4.27480536850719,3.915221243885455,4.220103238916539,4.246965635379728,3.9609209270956027,4.223371980434376,4.095407876138209,4.245034845772709,3.964293764719844,3.967454917054678,4.210676700668838,3.8439515829566546,4.081649929210133,4.110654679859928,4.391674924244204,4.100706939031984,4.32335532750535,4.2558634397785,4.021130188958528,4.129609757836379,0.14516902893080533,4.122252979694665,3.896897764734421,3.9772816075109896,4.280732987531954,4.357459228869537
315,Riley Thilthorpe,Adelaide,3.7997776220634187,3.9626195432249385,3.7132096378264383,3.614754973931933,3.7364540632214642,3.856608770227248,3.6636145031274734,3.699409684658971,3.6104199193887103,3.885509352367718,3.7229612470175306,3.408995324425069,3.8089890265580784,3.5551245880532854,3.7460685516586856,3.6506788059734356,3.5639819947460225,3.721831128746093,3.7701202376284435,3.9237810708385266,3.697546690781075,3.762393263136008,3.6619147473528466,3.540603760031614,3.8567916984339683,3.7273424519763467,3.7679420162924884,3.7402129498571868,3.828167033469429,3.49785222950529,3.737139711299048,3.7790422605127536,3.792961524962667,3.5746827323716057,3.7465055025053435,3.903016077948738,3.5999324128680117,3.4683775068557408,3.470580026559819,3.770494649283221,3.8874506789353998,3.69689597727979,3.78580228590062,3.6935538569578386,3.748681410754745,3.7825620514294997,3.7836776228767364,3.702275984786289,3.7069174730044674,3.7009835843117194,3.716544204358476,0.12070588486705586,3.7318982575989055,3.4761708281636405,3.5946552296442627,3.8129972300025505,3.899825171151004
325,James Peatling,Adelaide,3.781717878732237,3.647960708254335,3.5442078853911254,3.680036817981719,3.5177592789850665,3.711875404902054,3.925073609419442,3.3760739883463526,3.5568113866115727,3.4526391754298937,3.8043471184517803,3.799925290559079,3.8440095929426947,3.351683529030363,3.864076886122934,3.7846246851526053,3.7227361453096854,3.606633103232845,3.783436869993289,3.639843462287089,3.64254513519368,3.6360561597479193,3.8121452217105154,3.48147029964443,3.5690317379785816,3.4862553146856925,3.7971801082771686,3.5031014055172256,3.843536662073269,3.9227743793577754,3.6633570857497135,3.7760067041121457,3.637180445853358,3.68796243646271,3.760441917857355,3.4606281069985383,3.801473478873681,3.8435444231723572,3.866341173329744,3.6964616387365634,3.6369384961321543,3.7626197743675442,3.735732827479318,3.5916617400202813,3.4621268451593123,3.634114784638744,3.6529008552746625,3.548235405538875,3.7116990733682176,3.7992860271992432,3.676365649632938,0.14217147838557773,3.6839996272222146,3.454276906401466,3.514695783430288,3.805976922032856,3.865876994452348
327,Lachlan McAndrew,Adelaide,3.151958314329575,3.0319267064939583,3.1346200704149045,3.5010577637613673,3.3599321134956512,3.129204295858076,3.1217248369907793,3.1871416658051612,3.391841133736241,3.4982585511001925,3.3732438308220285,3.0106410083201793,3.3151245418603765,3.344498225608796,3.020668572233299,3.138883835910853,3.171945692382927,3.296193392463521,3.380255463792032,3.3954951269227496,3.4020674462685356,3.08893434861569,3.428394399518589,3.456350932535796,3.565916554206492,3.3958600486241206,3.2078532323216424,3.2127921448600802,3.1798816279902007,3.2744073337425026,3.2400762629193443,3.023384661140579,3.179738311831087,3.258610584406199,3.2724873692224694,3.395916776343672,3.4719183812007666,3.4626889325378856,3.2974980676048045,3.080042157786464,3.4100423515854166,3.214673178738963,3.1411144226562775,2.943397341542743,3.43255229599573,3.298596507104724,3.3605547458250986,3.5584260367875475,3.3851161697262295,3.21676660614611,3.276213487441768,0.1549964720581909,3.285300363103012,3.0212253704592915,3.1276410889548107,3.4292633998823114,3.5004839251658266
324,Taylor Walker,Adelaide,2.9532014440164556,2.942095924318222,2.9039723813433334,3.158876360965884,3.160460135452148,3.0810555124913566,3.059423993745981,3.015913490747421,2.9220779814061517,2.9346622399105384,2.9315643533212774,2.8796324998554637,3.077223128767534,2.857654379221103,3.011221865901465,3.047236224967617,2.961438091563172,2.872233374783637,2.9926123673122857,2.9047828498448123,2.7480683464613773,3.0142000499482418,3.017492258095629,2.870797226641099,2.834746804471091,3.0444110509438422,2.8121520273880454,2.896762433107349,2.8039474520751506,2.795838591575173,3.0025111655047527,3.012320670471849,2.917127085157219,2.8663530189932187,2.8798962473672276,2.8552348998662156,2.919496517685917,2.7886422194376936,2.954343485675979,2.8187537490971284,2.992105445726742,2.808561409749409,2.884705438369659,2.863341759650857,2.8236586863748165,2.835482227170825,3.136753202075388,2.9235853791282436,2.909422609989734,2.9048586314726004,2.932058173792167,0.09911253089874539,2.918311801421568,2.7975009079776685,2.8324293877889697,3.023118285800906,3.1253351757106613
318,Rory Laird,Adelaide,2.9364874459104757,2.8795336739830706,2.757279785541609,2.9134964576014486,2.9051482037140404,2.9030956213691046,2.6043587192071445,2.7868954083617914,2.6624412563916797,2.8933780195499934,2.7273669494209916,2.6573299770210923,2.7831565166882895,2.9020039620708333,2.7687697444189228,2.921375113547106,2.8748406939378763,2.745887737686427,2.895438444791705,2.5015223327274083,3.0281999095507732,2.798481005405089,2.9253216066935535,2.696990752084049,2.6958948141604835,2.8997858712188274,2.872921234192941,3.0505711948198453,2.9484836125542038,3.063462773156857,2.7025879685938263,2.9126561355729264,2.6067696682343513,2.651439005564828,2.7492150823081922,2.9856838996204447,2.7309258073383376,2.9929948322435904,2.6552038729900516,2.8707028637237255,2.750356676806468,2.710404139093942,2.710050740502605,2.7921688522226176,3.0085437914237687,2.822882790848061,2.6724270466256965,2.795426195642571,2.7222442672046085,2.849243247531679,2.813836914437399,0.12852549987861675,2.79695360052383,2.615926882387099,2.690990050745713,2.9276552670898903,3.024170405334737
